Date,Sunny
7/27/20,0
7/28/20,1
7/29/20,1
7/30/20,1
7/31/20,0
8/1/20,0
8/2/20,0
8/3/20,0
8/4/20,1
8/5/20,1
8/6/20,1
8/7/20,0
8/8/20,0
8/9/20,0
8/10/20,0
8/11/20,1
8/12/20,0
8/13/20,0
8/14/20,0
8/15/20,0
8/16/20,1
8/17/20,1
8/18/20,1
8/19/20,0
8/20/20,1
8/21/20,0
8/22/20,1
8/23/20,1
8/24/20,0
8/25/20,0
8/26/20,0
8/27/20,0
8/28/20,1
8/29/20,1
8/30/20,0
8/31/20,0
9/1/20,1
9/2/20,0
9/3/20,0
9/4/20,1
9/5/20,1
9/6/20,1
